Fri Oct 17 11:15:34 2025    profiling\profile.bin

         8254009 function calls (8246265 primitive calls) in 19.679 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.005    0.005 _dtype_like.py:1(<module>)
      981    0.001    0.000    0.005    0.000 <frozen ntpath>:243(splitext)
      310    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
        1    0.000    0.000    0.005    0.005 _fields.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _utils_impl.py:1(<module>)
        1    0.000    0.000    0.005    0.005 message.py:1(<module>)
     2593    0.003    0.000    0.005    0.000 typing.py:1368(__setattr__)
        1    0.000    0.000    0.005    0.005 _methods.py:1(<module>)
      651    0.005    0.000    0.005    0.000 {built-in method numpy.array}
    26451    0.005    0.000    0.005    0.000 {built-in method numpy.asanyarray}
       51    0.000    0.000    0.005    0.000 dataclasses.py:1277(dataclass)
  267/264    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
        1    0.000    0.000    0.005    0.005 _repr.py:1(<module>)
      429    0.005    0.000    0.005    0.000 visualization.py:300(scale_pos)
       19    0.000    0.000    0.005    0.000 <frozen ntpath>:705(realpath)
       72    0.000    0.000    0.005    0.000 __init__.py:3129(_get_metadata)
        1    0.000    0.000    0.005    0.005 _polynomial_impl.py:1(<module>)
        8    0.000    0.000    0.005    0.001 __init__.py:890(<genexpr>)
       16    0.001    0.000    0.005    0.000 typing.py:2998(__new__)
        2    0.000    0.000    0.005    0.002 readers.py:1(<module>)
        7    0.000    0.000    0.005    0.001 __init__.py:756(search)
        1    0.000    0.000    0.005    0.005 _strptime.py:1(<module>)
      230    0.001    0.000    0.005    0.000 overrides.py:85(verify_matching_signatures)
        1    0.000    0.000    0.005    0.005 hashlib.py:1(<module>)
        1    0.000    0.000    0.004    0.004 sysfont.py:1(<module>)
       99    0.001    0.000    0.004    0.000 <frozen abc>:105(__new__)
     1430    0.002    0.000    0.004    0.000 {function memmap.__array_wrap__ at 0x000002A5FF8D44A0}
        1    0.000    0.000    0.004    0.004 _adapters.py:28(get_resource_reader)
        1    0.000    0.000    0.004    0.004 _adapters.py:149(_native)
        1    0.000    0.000    0.004    0.004 _adapters.py:144(_reader)
        1    0.000    0.000    0.004    0.004 sprite.py:1(<module>)
        1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap_external>:1223(get_resource_reader)
        1    0.000    0.000    0.004    0.004 functional_validators.py:1(<module>)
        1    0.000    0.000    0.004    0.004 version.py:161(Version)
        1    0.000    0.000    0.004    0.004 utilities.py:1(<module>)
        1    0.000    0.000    0.004    0.004 fractions.py:1(<module>)
        1    0.000    0.000    0.004    0.004 typing_extensions.py:1(<module>)
     5865    0.003    0.000    0.004    0.000 _parser.py:167(__getitem__)
    15585    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
      310    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
        1    0.000    0.000    0.004    0.004 introspection.py:1(<module>)
      136    0.002    0.000    0.004    0.000 version.py:188(__init__)
      145    0.000    0.000    0.004    0.000 _strptime.py:29(_getlang)
      144    0.004    0.000    0.004    0.000 {built-in method numpy.empty}
       42    0.004    0.000    0.004    0.000 {built-in method nt._getfinalpathname}
        1    0.004    0.004    0.004    0.004 {method 'tofile' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.004    0.004 _globals.py:1(<module>)
    13527    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
    89/34    0.000    0.000    0.004    0.000 typing.py:1483(_determine_new_args)
     8766    0.004    0.000    0.004    0.000 data.py:131(r_0)
        7    0.000    0.000    0.004    0.001 _functools.py:75(wrapper)
        1    0.000    0.000    0.004    0.004 decimal.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _function_base_impl.py:1(<module>)
       66    0.000    0.000    0.004    0.000 __init__.py:1685(has_metadata)
       16    0.000    0.000    0.004    0.000 typing.py:2979(_make_nmtuple)
      379    0.001    0.000    0.004    0.000 typing.py:1307(__init__)
    89/34    0.001    0.000    0.004    0.000 typing.py:1512(_make_substitution)
        7    0.000    0.000    0.004    0.001 __init__.py:765(lookup)
      145    0.000    0.000    0.004    0.000 locale.py:582(getlocale)
      336    0.002    0.000    0.004    0.000 functools.py:36(update_wrapper)
        1    0.000    0.000    0.004    0.004 aliases.py:1(<module>)
    14406    0.004    0.000    0.004    0.000 {method 'endswith' of 'str' objects}
        7    0.001    0.000    0.004    0.001 __init__.py:775(__init__)
    10519    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.003    0.003 _mock_val_ser.py:1(<module>)
       46    0.000    0.000    0.003    0.000 {built-in method builtins.sorted}
      533    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
        1    0.000    0.000    0.003    0.003 platform.py:1(<module>)
      981    0.002    0.000    0.003    0.000 <frozen genericpath>:157(_splitext)
       32    0.001    0.000    0.003    0.000 enum.py:498(__new__)
      657    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       31    0.000    0.000    0.003    0.000 <frozen zipimport>:68(__init__)
      181    0.003    0.000    0.003    0.000 {method 'strftime' of 'datetime.date' objects}
       31    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1716(path_hook_for_FileFinder)
    13751    0.003    0.000    0.003    0.000 _parser.py:239(__next)
      657    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:372(release)
     5548    0.002    0.000    0.003    0.000 typing.py:1096(__eq__)
        1    0.000    0.000    0.003    0.003 _typing_extra.py:1(<module>)
        1    0.000    0.000    0.003    0.003 freetype.py:1(<module>)
       34    0.003    0.000    0.003    0.000 {built-in method builtins.eval}
       52    0.002    0.000    0.003    0.000 __init__.py:334(__new__)
     6860    0.003    0.000    0.003    0.000 {built-in method nt._path_splitroot_ex}
      862    0.001    0.000    0.003    0.000 __init__.py:2332(<genexpr>)
       68    0.003    0.000    0.003    0.000 {built-in method nt._path_exists}
     3170    0.002    0.000    0.003    0.000 typing.py:1294(_is_dunder)
       67    0.000    0.000    0.003    0.000 __init__.py:1897(_has)
      460    0.001    0.000    0.003    0.000 _inspect.py:97(getargspec)
      255    0.000    0.000    0.003    0.000 __init__.py:183(sub)
        6    0.000    0.000    0.003    0.000 typing_extensions.py:1085(__new__)
        1    0.000    0.000    0.003    0.003 selectors.py:1(<module>)
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap_external>:1238(_cache_bytecode)
       11    0.000    0.000    0.003    0.000 __init__.py:2660(_normalize_cached)
       11    0.000    0.000    0.003    0.000 __init__.py:2633(normalize_path)
     2620    0.001    0.000    0.003    0.000 typing.py:1122(_is_unpacked_typevartuple)
      287    0.002    0.000    0.003    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap_external>:1243(set_data)
        1    0.000    0.000    0.003    0.003 subprocess.py:1(<module>)
       16    0.000    0.000    0.003    0.000 types.py:334(__getattr__)
        1    0.000    0.000    0.003    0.003 _utils.py:1(<module>)
       48    0.000    0.000    0.003    0.000 typing.py:2054(__new__)
      501    0.000    0.000    0.003    0.000 typing.py:789(<genexpr>)
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap_external>:200(_write_atomic)
       77    0.001    0.000    0.003    0.000 _compiler.py:514(_compile_info)
     1885    0.001    0.000    0.003    0.000 {built-in method builtins.max}
      341    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
       24    0.000    0.000    0.003    0.000 typing.py:1446(__or__)
      310    0.001    0.000    0.003    0.000 function_base.py:486(add_newdoc)
        1    0.000    0.000    0.003    0.003 lzma.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _manylinux.py:1(<module>)
        1    0.000    0.000    0.002    0.002 tarfile.py:1(<module>)
     3129    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.002    0.002 uuid.py:1(<module>)
       14    0.000    0.000    0.002    0.000 __init__.py:2376(safe_listdir)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
        1    0.000    0.000    0.002    0.002 bz2.py:1(<module>)
        1    0.000    0.000    0.002    0.002 tempfile.py:1(<module>)
        1    0.000    0.000    0.002    0.002 message.py:135(Message)
      333    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.002    0.002 queue.py:1(<module>)
       52    0.000    0.000    0.002    0.000 __init__.py:294(_from_text_for)
 1007/248    0.002    0.000    0.002    0.000 _parser.py:177(getwidth)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:1(<module>)
      341    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:177(_path_isabs)
        1    0.000    0.000    0.002    0.002 quoprimime.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _type_check_impl.py:1(<module>)
